PGLYRP1,1.01813095371862e-06
PLEKHM3,1.2156708661976e-06
ZNF26,2.20422434171171e-05
SIDT1,6.07086150944361e-05
GPR146,6.18591394208666e-05
BICC1,6.74642258756645e-05
MRPL19,6.99380829124231e-05
ALDH6A1,8.43519098105518e-05
SLC4A7,0.000101142206717912
GGH,0.000111812208740263
LDHA,0.00012729294074557
ABRA,0.00012844324334003
INTS10,0.000148600622680523
LOC101927826///FBXO41,0.00016663547753113
DBT,0.000170933820390668
WFDC1,0.000174847943180351
KCNA6,0.000182918415003121
KRR1,0.000207450519924996
GPATCH3,0.000242596714969011
TDRD3,0.000246906548945837
PCNX3,0.00025358058473553
LOC388692,0.000263587235957438
MYSM1,0.000264980832557957
GJC1,0.000267387659053791
NBN,0.000267482572641319
FGF9,0.000268708037816725
TMEM184A,0.000288046394062669
PTPRT,0.000290332249210258
EPHX3,0.000300020529845965
TLR7,0.000315124732511701
MTPN,0.000320847812954698
ISCA2,0.00036979194206236
AIG1,0.000386190938531615
HAAO,0.000418885719516026
GTF2A1,0.000434313542261643
DICER1-AS1,0.000472877487296151
GAL3ST4,0.000483541151362342
TNRC6B,0.000483571337327484
GVINP1,0.000498592255945275
SCGB1D2,0.000505065025905128
KMT5B,0.000536938575673989
C17orf77,0.000543621479836228
ZNF430,0.000563496925426081
RIMBP2,0.000572639548834848
WDR86-AS1,0.000610660670540029
FBXO4,0.000634430302441401
GPR84,0.000691468703701352
ZNF597,0.000691640953819801
ASH1L-AS1,0.000716657958341579
PWWP2A,0.000775358505942641
LRRC75B,0.000793728624886541
SLC38A10,0.000828717663223799
SPPL2A,0.000830981018928078
SLC35F3,0.000898363393453813
CMTM4,0.000948130535511849
DCAF8,0.000988557027068464
KANSL1,0.00105712070179475
TNP1,0.00108299519679584
ASPHD2,0.00110118852296519
CBLB,0.00116685769687371
LOC101930081,0.00120378914409689
MTF2,0.00120488666139349
TIMM21,0.00123566497146032
CLGN,0.00127384397813843
KRTAP1-3,0.00128792350514434
MYL5,0.00132270933983239
LOC728061,0.00133323467720931
SON,0.00135233765348995
IQSEC2,0.00138914111002973
METTL22,0.00140200204215415
CD2AP,0.00142199890928115
PCMTD2,0.00143621705913598
TMEM109,0.00145011039212374
RABEPK,0.00146440627145904
LOC388942,0.00147699297862691
RALGAPB,0.0015175825338626
ZNF12,0.00155585431014058
CACNG8,0.00160730267919953
GAREM1,0.00165679632197763
FCN3,0.00167376844147073
AASS,0.00167549133410083
CDKN1A,0.00172977776973983
LOC100507387///FAM153A///FAM153B,0.00182953566769123
AP4B1,0.00185845130410585
ATP2A1,0.00187159839172263
PPA1,0.0018721174356543
RBM18,0.00188418097103668
RAB15,0.00191022612028721
LOC100130987///RAD9A,0.00194842340455093
UGCG,0.00197252472482983
GPR78///CPZ,0.00199727484475877
CCDC34,0.00199846721551397
APOD,0.00200949207724237
CFAP100,0.00202748433671617
RASSF2,0.00203135286479388
PCAT18,0.00205092487423467
PDZD2,0.00206199373795115
LINC01186,0.00206801527494714
ZNF546,0.00206953075209626
SPRED2,0.00207950606563686
TET1,0.00208040341976872
IDI1,0.00216615468868324
KLHL1,0.00217150166394976
GPAT4,0.00219929622176739
LPL,0.00219984504245368
PIP5K1C,0.00223451503811085
ORC2,0.00223724156828966
STRIP2,0.00225311227981656
CALML6,0.00226274068008601
LOC101929926,0.00229396904500396
TGM6,0.00231396499712389
SRSF4,0.00234771848956643
FAM133DP///FAM133B,0.00236192263700815
ZNF316,0.00240199959961815
CUL4A,0.00241863857384847
SLC4A4,0.00242022932529678
RNMT,0.00243042426386045
RUBCN,0.0024628268125656
INO80B-WBP1///INO80B,0.00246551907117158
TMEM218,0.00248559955692523
LOC105376805,0.00251789779636108
NEDD9,0.00257158286499338
DUSP16,0.00258026079328226
FLRT1,0.00260665731596006
CPM,0.00262390658735656
ADAD1,0.0026468383579127
ZNF292,0.00264947693145971
GCLM,0.00283107444973038
SLC8A1-AS1,0.00294208331536611
RAE1,0.00295514543422741
HYAL4,0.00295524400968069
NEURL3,0.00302774309454078
LINC01395,0.00307822828149116
ADGRD1,0.00310766587988728
LRRC37A2///LRRC37A3///LRRC37A4P///LRRC37A,0.00310914153749627
DBNDD1,0.00311483662021704
FOXP1-IT1,0.00312849086764627
LOC100287852///FAM136A,0.0031342213291273
FCHSD1,0.00313610305309704
GBAP1,0.00313958120911415
ELP2,0.00315159226125504
MSRB2,0.00320926372557879
MUC5AC,0.0032232814217649
CBR4,0.00326009998783577
MPLKIP,0.00326650376503624
TRMT13,0.00327271285467834
OCLM,0.00331451307685195
SMIM15,0.00331739994497172
EED,0.00331911449914893
FCER2,0.00331913031614271
FRMPD3,0.00334562830649024
MRPL57,0.00336799601237343
SCGB2A1,0.00337499155523506
GREB1,0.00341724205083629
AKAP5,0.00345549606045082
LINC00163,0.0034571560174357
ITGA9,0.00346192186638611
LOC106146153,0.00348052894449278
FER1L6-AS1,0.00350896122161209
OAF,0.00354568658911756
LDHB,0.00356526296292264
CHST1,0.00359162878203789
LOC101930583///GOLGA8B///GOLGA8A,0.003596510743645
LOC101060817///GCSH,0.00360478555753297
MIOX,0.00368005266464893
MAPKAPK3,0.00369184188587351
FAM9C,0.00369464341265749
COL18A1,0.00371267584759014
RFX3,0.00372450023848553
HLA-DQA1,0.00374915473750651
VGLL2,0.00375094539963193
LOC101928635///ALDH1A2,0.00375594150038251
NKX6-1,0.00380339514469514
EPO,0.0038921646405684
LINC01585,0.00389661181563191
OR3A3///OR1E2///OR1E1,0.00391108696102268
